"Year","Month","AO","Max_Wind","Name","TS_H"
2005,6,5.434,50,"Arlene","TS"
2005,7,5.013,45,"Cindy","TS"
2005,7,5.013,65,"Cindy","HU"
2005,7,5.013,105,"Dennis","HU"
2005,8,4.746,110,"Katrina","HU"
2005,9,5.367,65,"Ophelia","HU"
2005,9,5.367,100,"Rita","HU"
2005,10,5.728,45,"Tammy","TS"
2005,10,5.728,105,"Wilma","HU"
2006,6,6.085,40,"Alberto","TS"
2006,7,4.265,45,"Beryl","TS"
2006,8,4.565,40,"Ernesto","TS"
2006,8,4.565,40,"Ernesto","TS"
2006,9,4.36,60,"Ernesto","TS"
2007,9,4.878,50,"Gabrielle","TS"
2007,9,4.878,80,"Humberto","HU"
2008,7,4.685,75,"Dolly","HU"
2008,8,4.145,55,"Edouard","TS"
2008,8,4.145,50,"Fay","TS"
2008,8,4.145,55,"Fay","TS"
2008,8,4.145,55,"Fay","TS"
2008,8,4.145,45,"Fay","TS"
2008,9,4.268,60,"Hanna","TS"
2008,9,4.268,90,"Gustav","HU"
2008,10,4.14,95,"Ike","HU"
2009,8,3.004,40,"Claudette","TS"
2010,7,3.334,35,"Bonnie","TS"
2011,8,4.673,60,"Irene","TS"
2011,8,4.673,55,"Irene","TS"
2011,8,4.673,75,"Irene","HU"
2011,9,4.072,40,"Lee","TS"
2012,5,3.827,55,"Beryl","TS"
2012,6,2.792,35,"Debby","TS"
2012,8,3.376,70,"Isaac","HU"
2012,10,4.955,65,"Sandy","HU"
2013,6,5.006,50,"Andrea","TS"
2014,7,4.043,85,"Arthur","HU"
2015,5,5.783,40,"Ana","TS"
2015,6,4.601,50,"Bill","TS"
2016,6,5.708,45,"Colin","TS"
2016,9,4.456,70,"Hermine","HU"
2016,10,5.065,85,"Matthew","HU"
2017,6,6.141,45,"Cindy","TS"
2017,7,5.064,50,"Emily","TS"
2017,8,5.147,40,"Harvey","TS"
2017,8,5.147,115,"Harvey","HU"
2017,9,5.693,40,"Jose","TS"
2017,9,5.693,45,"Maria","TS"
2017,9,5.693,115,"Irma","HU"
2017,10,7.396,65,"Nate","HU"
2018,5,5.881,40,"Alberto","TS"
2018,9,5.899,45,"Gordon","TS"
2018,9,5.899,45,"Gordon","TS"
2018,9,5.899,80,"Florence","HU"
2018,10,7.352,140,"Michael","HU"
2019,7,7.026,65,"Barry","HU"
2019,9,7.152,40,"Imelda","TS"
2019,9,7.152,85,"Dorian","HU"
2020,5,6.938,45,"Bertha","TS"
2020,6,6.851,45,"Cristobal","TS"
2020,7,5.777,45,"Fay","TS"
2020,7,5.777,80,"Hanna","HU"
2020,8,4.78,80,"Isaias","HU"
2020,8,4.78,130,"Laura","HU"
2020,9,5.881,45,"Beta","TS"
2020,9,5.881,95,"Sally","HU"
2020,10,7.362,85,"Delta","HU"
2020,10,7.362,100,"Zeta","HU"
2020,11,6.143,55,"Eta","TS"
2021,6,7.711,40,"Claudette","TS"
2021,6,7.711,35,"Danny","TS"
2021,7,6.761,55,"Elsa","TS"
2021,7,6.761,50,"Elsa","TS"
2021,7,6.761,50,"Elsa","TS"
2021,8,6.698,55,"Fred","TS"
2021,8,6.698,55,"Henri","TS"
2021,8,6.698,55,"Henri","TS"
2021,8,6.698,130,"Ida","HU"
2021,9,8.207,50,"Mindy","TS"
2021,9,8.207,65,"Nicholas","HU"
2022,7,7.574,35,"Colin","TS"
2022,9,7.991,130,"Ian","HU"
2023,8,8.156,50,"Harold","TS"
2023,8,8.156,100,"Idalia","HU"
2023,9,8.492,60,"Ophelia","TS"
