"YEAR","MONTH","AO","date"
2005,1,3.811,2005-01-01
2005,2,4.023,2005-02-01
2005,3,5.739,2005-03-01
2005,4,4.775,2005-04-01
2005,5,6.045,2005-05-01
2005,6,5.434,2005-06-01
2005,7,5.013,2005-07-01
2005,8,4.746,2005-08-01
2005,9,5.367,2005-09-01
2005,10,5.728,2005-10-01
2005,11,5.314,2005-11-01
2005,12,4.488,2005-12-01
2006,1,4.403,2006-01-01
2006,2,4.574,2006-02-01
2006,3,4.449,2006-03-01
2006,4,4.305,2006-04-01
2006,5,4.914,2006-05-01
2006,6,6.085,2006-06-01
2006,7,4.265,2006-07-01
2006,8,4.565,2006-08-01
2006,9,4.36,2006-09-01
2006,10,4.947,2006-10-01
2006,11,4.353,2006-11-01
2006,12,3.847,2006-12-01
2007,1,4.463,2007-01-01
2007,2,4.022,2007-02-01
2007,3,4.02,2007-03-01
2007,4,3.829,2007-04-01
2007,5,4.193,2007-05-01
2007,6,4.643,2007-06-01
2007,7,4.433,2007-07-01
2007,8,3.852,2007-08-01
2007,9,4.878,2007-09-01
2007,10,4.528,2007-10-01
2007,11,4.431,2007-11-01
2007,12,5.048,2007-12-01
2008,1,4.101,2008-01-01
2008,2,4.248,2008-02-01
2008,3,5.006,2008-03-01
2008,4,4.342,2008-04-01
2008,5,4.168,2008-05-01
2008,6,5.603,2008-06-01
2008,7,4.685,2008-07-01
2008,8,4.145,2008-08-01
2008,9,4.268,2008-09-01
2008,10,4.14,2008-10-01
2008,11,3.594,2008-11-01
2008,12,3.481,2008-12-01
2009,1,3.83,2009-01-01
2009,2,4.746,2009-02-01
2009,3,4.155,2009-03-01
2009,4,3.097,2009-04-01
2009,5,4.545,2009-05-01
2009,6,4.795,2009-06-01
2009,7,3.089,2009-07-01
2009,8,3.004,2009-08-01
2009,9,4.402,2009-09-01
2009,10,4.928,2009-10-01
2009,11,4.459,2009-11-01
2009,12,4.903,2009-12-01
2010,1,4.112,2010-01-01
2010,2,3.882,2010-02-01
2010,3,4.007,2010-03-01
2010,4,2.989,2010-04-01
2010,5,3.628,2010-05-01
2010,6,4.528,2010-06-01
2010,7,3.334,2010-07-01
2010,8,3.838,2010-08-01
2010,9,4.461,2010-09-01
2010,10,4.289,2010-10-01
2010,11,5.028,2010-11-01
2010,12,4.34,2010-12-01
2011,1,4.638,2011-01-01
2011,2,4.055,2011-02-01
2011,3,4.737,2011-03-01
2011,4,4.02,2011-04-01
2011,5,4.322,2011-05-01
2011,6,4.113,2011-06-01
2011,7,4.826,2011-07-01
2011,8,4.673,2011-08-01
2011,9,4.072,2011-09-01
2011,10,4.562,2011-10-01
2011,11,3.612,2011-11-01
2011,12,4.271,2011-12-01
2012,1,3.483,2012-01-01
2012,2,3.907,2012-02-01
2012,3,4.337,2012-03-01
2012,4,3.631,2012-04-01
